"날짜","종가","시가","고가","저가","변동 %"
"2004- 05- 01","4.220","4.220","4.220","4.220","-6.01%"
"2004- 04- 01","4.490","4.490","4.490","4.490","0.00%"
"2004- 03- 01","4.490","4.490","4.490","4.490","-5.87%"
"2004- 02- 01","4.770","4.770","4.770","4.770","-3.25%"
"2004- 01- 01","4.930","4.930","4.930","4.930","2.28%"
"2003- 12- 01","4.820","4.820","4.820","4.820","-0.62%"
"2003- 11- 01","4.850","4.850","4.850","4.850","7.54%"
"2003- 10- 01","4.510","4.510","4.510","4.510","8.67%"
"2003- 09- 01","4.150","4.150","4.150","4.150","-7.78%"
"2003- 08- 01","4.500","4.500","4.500","4.500","-2.60%"
"2003- 07- 01","4.620","4.620","4.620","4.620","10.79%"
"2003- 06- 01","4.170","4.170","4.170","4.170","1.46%"
"2003- 05- 01","4.110","4.110","4.110","4.110","-8.67%"
"2003- 04- 01","4.500","4.500","4.500","4.500","-2.17%"
"2003- 03- 01","4.600","4.600","4.600","4.600","0.00%"
"2003- 02- 01","4.600","4.600","4.600","4.600","-3.16%"
"2003- 01- 01","4.750","4.750","4.750","4.750","-7.41%"
"2002- 12- 01","5.130","5.130","5.130","5.130","-5.18%"
"2002- 11- 01","5.410","5.410","5.410","5.410","1.88%"
"2002- 10- 01","5.310","5.310","5.310","5.310","1.14%"
"2002- 09- 01","5.250","5.250","5.250","5.250","-4.37%"
"2002- 08- 01","5.490","5.490","5.490","5.490","-1.79%"
"2002- 07- 01","5.590","5.590","5.590","5.590","-1.58%"
"2002- 06- 01","5.680","5.680","5.680","5.680","-7.04%"
"2002- 05- 01","6.110","6.110","6.110","6.110","-4.08%"
"2002- 04- 01","6.370","6.370","6.370","6.370","-0.78%"
"2002- 03- 01","6.420","6.420","6.420","6.420","12.04%"
"2002- 02- 01","5.730","5.730","5.730","5.730","-5.29%"
"2002- 01- 01","6.050","6.050","6.050","6.050","3.24%"
"2001- 12- 01","5.860","5.860","5.860","5.860","2.81%"
"2001- 11- 01","5.700","5.700","5.700","5.700","14.23%"
"2001- 10- 01","4.990","4.990","4.990","4.990","10.64%"
"2001- 09- 01","4.510","4.510","4.510","4.510","-12.26%"
"2001- 08- 01","5.140","5.140","5.140","5.140","-7.55%"
"2001- 07- 01","5.560","5.560","5.560","5.560","-7.02%"
"2001- 06- 01","5.980","5.980","5.980","5.980","-1.97%"
"2001- 05- 01","6.100","6.100","6.100","6.100","-10.43%"
"2001- 04- 01","6.810","6.810","6.810","6.810","7.08%"
"2001- 03- 01","6.360","6.360","6.360","6.360","15.64%"
"2001- 02- 01","5.500","5.500","5.500","5.500","-3.17%"
"2001- 01- 01","5.680","5.680","5.680","5.680","-15.22%"
"2000- 12- 01","6.700","6.700","6.700","6.700","-6.42%"
"2000- 11- 01","7.160","7.160","7.160","7.160","-6.28%"
"2000- 10- 01","7.640","7.640","7.640","7.640","-5.33%"
"2000- 09- 01","8.070","8.070","8.070","8.070","3.59%"
"2000- 08- 01","7.790","7.790","7.790","7.790","-3.47%"
"2000- 07- 01","8.070","8.070","8.070","8.070","-2.89%"
"2000- 06- 01","8.310","8.310","8.310","8.310","-6.31%"
"2000- 05- 01","8.870","8.870","8.870","8.870","-0.56%"
"2000- 04- 01","8.920","8.920","8.920","8.920","-0.89%"
"2000- 03- 01","9.000","9.000","9.000","9.000","1.01%"
"2000- 02- 01","8.910","8.910","8.910","8.910","-1.00%"
"2000- 01- 01","9.000","9.000","9.000","9.000","-0.33%"
"1999- 12- 01","9.030","9.030","9.030","9.030","4.76%"
"1999- 11- 01","8.620","8.620","8.620","8.620","5.38%"
"1999- 10- 01","8.180","8.180","8.180","8.180","-9.41%"
"1999- 09- 01","9.030","9.030","9.030","9.030","-0.88%"
"1999- 08- 01","9.110","9.110","9.110","9.110","7.81%"
"1999- 07- 01","8.450","8.450","8.450","8.450","17.36%"
"1999- 06- 01","7.200","7.200","7.200","7.200","7.95%"
"1999- 05- 01","6.670","6.670","6.670","6.670","0.15%"
"1999- 04- 01","6.660","6.660","6.660","6.660","2.46%"
"1999- 03- 01","6.500","6.500","6.500","6.500","-6.61%"
"1999- 02- 01","6.960","6.960","6.960","6.960","-1.28%"
"1999- 01- 01","7.050","7.050","7.050","7.050","1.44%"
"1998- 12- 01","6.950","6.950","6.950","6.950","-14.20%"
"1998- 11- 01","8.100","8.100","8.100","8.100","-4.71%"
"1998- 10- 01","8.500","8.500","8.500","8.500","-26.09%"
"1998- 09- 01","11.500","11.500","11.500","11.500","1.77%"
"1998- 08- 01","11.300","11.300","11.300","11.300","-3.83%"
"1998- 07- 01","11.750","11.750","11.750","11.750","-16.07%"
"1998- 06- 01","14.000","14.000","14.000","14.000","-17.65%"
"1998- 05- 01","17.000","17.000","17.000","17.000","1.19%"
"1998- 04- 01","16.800","16.800","16.800","16.800","-3.72%"
"1998- 03- 01","17.450","17.450","17.450","17.450","16.33%"
"1998- 02- 01","15.000","15.000","15.000","15.000","0.00%"
"1998- 01- 01","15.000","15.000","15.000","15.000","0.00%"
"1997- 12- 01","15.000","15.000","15.000","15.000","7.91%"
"1997- 11- 01","13.900","13.900","13.900","13.900","19.31%"
"1997- 10- 01","11.650","11.650","11.650","11.650","0.00%"
"1997- 09- 01","11.650","11.650","11.650","11.650","0.00%"
"1997- 08- 01","11.650","11.650","11.650","11.650","0.00%"
"1997- 07- 01","11.650","11.650","11.650","11.650","0.00%"
"1997- 06- 01","11.650","11.650","11.650","11.650","-6.05%"
"1997- 05- 01","12.400","12.400","12.400","12.400","0.00%"
"1997- 04- 01","12.400","12.400","12.400","12.400","0.00%"
"1997- 03- 01","12.400","12.400","12.400","12.400","1.64%"
"1997- 02- 01","12.200","12.200","12.200","12.200","0.00%"
"1997- 01- 01","12.200","12.200","12.200","12.200","0.00%"
"1996- 12- 01","12.200","12.200","12.200","12.200","0.41%"
"1996- 11- 01","12.150","12.150","12.150","12.150","0.41%"
"1996- 10- 01","12.100","12.100","12.100","12.100","-1.22%"
"1996- 09- 01","12.250","12.250","12.250","12.250","-0.81%"
"1996- 08- 01","12.350","12.350","12.350","12.350","2.92%"
"1996- 07- 01","12.000","12.000","12.000","12.000","2.56%"
"1996- 06- 01","11.700","11.700","11.700","11.700","3.08%"
"1996- 05- 01","11.350","11.350","11.350","11.350","9.13%"
"1996- 04- 01","10.400","10.400","10.400","10.400","-10.73%"
"1996- 03- 01","11.650","11.650","11.650","11.650","-2.92%"
"1996- 02- 01","12.000","12.000","12.000","12.000","-0.83%"
"1996- 01- 01","12.100","12.100","12.100","12.100","2.54%"
"1995- 12- 01","11.800","11.800","11.800","11.800","0.43%"
"1995- 11- 01","11.750","11.750","11.750","11.750","-2.08%"
"1995- 10- 01","12.000","12.000","12.000","12.000","-4.38%"
"1995- 09- 01","12.550","12.550","12.550","12.550","-2.71%"
"1995- 08- 01","12.900","12.900","12.900","12.900","-6.52%"
"1995- 07- 01","13.800","13.800","13.800","13.800","-5.48%"
"1995- 06- 01","14.600","14.600","14.600","14.600","-1.68%"
